ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	OMIM_DISEASE	REACTOME_PATHWAY
APOA2	apolipoprotein A2(APOA2)	Homo sapiens	"GO:0001523~retinoid metabolic process,GO:0002526~acute inflammatory response,GO:0002740~negative regulation of cytokine secretion involved in immune response,GO:0006641~triglyceride metabolic process,GO:0006656~phosphatidylcholine biosynthetic process,GO:0006869~lipid transport,GO:0008203~cholesterol metabolic process,GO:0009395~phospholipid catabolic process,GO:0009749~response to glucose,GO:0010873~positive regulation of cholesterol esterification,GO:0010903~negative regulation of very-low-density lipoprotein particle remodeling,GO:0016032~viral process,GO:0018158~protein oxidation,GO:0018206~peptidyl-methionine modification,GO:0030300~regulation of intestinal cholesterol absorption,GO:0031100~organ regeneration,GO:0031647~regulation of protein stability,GO:0032375~negative regulation of cholesterol transport,GO:0033344~cholesterol efflux,GO:0033700~phospholipid efflux,GO:0034370~triglyceride-rich lipoprotein particle remodeling,GO:0034374~low-density lipoprotein particle remodeling,GO:0034375~high-density lipoprotein particle remodeling,GO:0034380~high-density lipoprotein particle assembly,GO:0034384~high-density lipoprotein particle clearance,GO:0042157~lipoprotein metabolic process,GO:0042158~lipoprotein biosynthetic process,GO:0042493~response to drug,GO:0042632~cholesterol homeostasis,GO:0043085~positive regulation of catalytic activity,GO:0043627~response to estrogen,GO:0043691~reverse cholesterol transport,GO:0045416~positive regulation of interleukin-8 biosynthetic process,GO:0046340~diacylglycerol catabolic process,GO:0050995~negative regulation of lipid catabolic process,GO:0050996~positive regulation of lipid catabolic process,GO:0051384~response to glucocorticoid,GO:0060192~negative regulation of lipase activity,GO:0060621~negative regulation of cholesterol import,GO:0060695~negative regulation of cholesterol transporter activity,"	"GO:0005576~extracellular region,GO:0005769~early endosome,GO:0005788~endoplasmic reticulum lumen,GO:0005829~cytosol,GO:0034361~very-low-density lipoprotein particle,GO:0034364~high-density lipoprotein particle,GO:0034366~spherical high-density lipoprotein particle,GO:0042627~chylomicron,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0005319~lipid transporter activity,GO:0005515~protein binding,GO:0005543~phospholipid binding,GO:0008035~high-density lipoprotein particle binding,GO:0008289~lipid binding,GO:0015485~cholesterol binding,GO:0017127~cholesterol transporter activity,GO:0031210~phosphatidylcholine binding,GO:0034190~apolipoprotein receptor binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,GO:0055102~lipase inhibitor activity,GO:0060228~phosphatidylcholine-sterol O-acyltransferase activator activity,GO:0070653~high-density lipoprotein particle receptor binding,"	"hsa03320:PPAR signaling pathway,"	"143890~Hypercholesterolemia, familial, modifier of,Apolipoprotein A-II deficiency~Apolipoprotein A-II deficiency,"	"R-HSA-174800:R-HSA-174800,R-HSA-1989781:R-HSA-1989781,R-HSA-975634:R-HSA-975634,"
APOA4	apolipoprotein A4(APOA4)	Homo sapiens	"GO:0001523~retinoid metabolic process,GO:0002227~innate immune response in mucosa,GO:0006695~cholesterol biosynthetic process,GO:0006869~lipid transport,GO:0006982~response to lipid hydroperoxide,GO:0007159~leukocyte cell-cell adhesion,GO:0008203~cholesterol metabolic process,GO:0010873~positive regulation of cholesterol esterification,GO:0010898~positive regulation of triglyceride catabolic process,GO:0019430~removal of superoxide radicals,GO:0030300~regulation of intestinal cholesterol absorption,GO:0031102~neuron projection regeneration,GO:0032374~regulation of cholesterol transport,GO:0033344~cholesterol efflux,GO:0033700~phospholipid efflux,GO:0034371~chylomicron remodeling,GO:0034372~very-low-density lipoprotein particle remodeling,GO:0034375~high-density lipoprotein particle remodeling,GO:0034378~chylomicron assembly,GO:0034380~high-density lipoprotein particle assembly,GO:0034445~negative regulation of plasma lipoprotein particle oxidation,GO:0035634~response to stilbenoid,GO:0042157~lipoprotein metabolic process,GO:0042158~lipoprotein biosynthetic process,GO:0042632~cholesterol homeostasis,GO:0042744~hydrogen peroxide catabolic process,GO:0043691~reverse cholesterol transport,GO:0044240~multicellular organism lipid catabolic process,GO:0044267~cellular protein metabolic process,GO:0045723~positive regulation of fatty acid biosynthetic process,GO:0046470~phosphatidylcholine metabolic process,GO:0051006~positive regulation of lipoprotein lipase activity,GO:0055088~lipid homeostasis,GO:0065005~protein-lipid complex assembly,GO:0070328~triglyceride homeostasis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005769~early endosome,GO:0005788~endoplasmic reticulum lumen,GO:0005829~cytosol,GO:0009986~cell surface,GO:0034361~very-low-density lipoprotein particle,GO:0034364~high-density lipoprotein particle,GO:0042627~chylomicron,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0005319~lipid transporter activity,GO:0005507~copper ion binding,GO:0005515~protein binding,GO:0008289~lipid binding,GO:0015485~cholesterol binding,GO:0016209~antioxidant activity,GO:0017127~cholesterol transporter activity,GO:0031210~phosphatidylcholine binding,GO:0042803~protein homodimerization activity,GO:0060228~phosphatidylcholine-sterol O-acyltransferase activator activity,"	"hsa04975:Fat digestion and absorption,hsa04977:Vitamin digestion and absorption,"		"R-HSA-174800:R-HSA-174800,R-HSA-975634:R-HSA-975634,R-HSA-977225:R-HSA-977225,"
APOC2	apolipoprotein C2(APOC2)	Homo sapiens	"GO:0001523~retinoid metabolic process,GO:0006629~lipid metabolic process,GO:0006869~lipid transport,GO:0010518~positive regulation of phospholipase activity,GO:0010898~positive regulation of triglyceride catabolic process,GO:0010902~positive regulation of very-low-density lipoprotein particle remodeling,GO:0010916~negative regulation of very-low-density lipoprotein particle clearance,GO:0016042~lipid catabolic process,GO:0032375~negative regulation of cholesterol transport,GO:0033344~cholesterol efflux,GO:0033700~phospholipid efflux,GO:0034370~triglyceride-rich lipoprotein particle remodeling,GO:0034371~chylomicron remodeling,GO:0034372~very-low-density lipoprotein particle remodeling,GO:0034382~chylomicron remnant clearance,GO:0034384~high-density lipoprotein particle clearance,GO:0042157~lipoprotein metabolic process,GO:0042632~cholesterol homeostasis,GO:0043086~negative regulation of catalytic activity,GO:0043691~reverse cholesterol transport,GO:0045723~positive regulation of fatty acid biosynthetic process,GO:0045833~negative regulation of lipid metabolic process,GO:0048261~negative regulation of receptor-mediated endocytosis,GO:0051006~positive regulation of lipoprotein lipase activity,GO:0060697~positive regulation of phospholipid catabolic process,GO:0070328~triglyceride homeostasis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005769~early endosome,GO:0034361~very-low-density lipoprotein particle,GO:0034362~low-density lipoprotein particle,GO:0034363~intermediate-density lipoprotein particle,GO:0034366~spherical high-density lipoprotein particle,GO:0042627~chylomicron,GO:0070062~extracellular exosome,"	"GO:0008047~enzyme activator activity,GO:0008289~lipid binding,GO:0016004~phospholipase activator activity,GO:0042803~protein homodimerization activity,GO:0043274~phospholipase binding,GO:0055102~lipase inhibitor activity,GO:0060230~lipoprotein lipase activator activity,"		"207750~Hyperlipoproteinemia, type Ib,"	"R-HSA-174800:R-HSA-174800,R-HSA-194223:R-HSA-194223,R-HSA-975634:R-HSA-975634,"
APOC3	apolipoprotein C3(APOC3)	Homo sapiens	"GO:0001523~retinoid metabolic process,GO:0006641~triglyceride metabolic process,GO:0006869~lipid transport,GO:0007186~G-protein coupled receptor signaling pathway,GO:0010897~negative regulation of triglyceride catabolic process,GO:0010903~negative regulation of very-low-density lipoprotein particle remodeling,GO:0010916~negative regulation of very-low-density lipoprotein particle clearance,GO:0010987~negative regulation of high-density lipoprotein particle clearance,GO:0010989~negative regulation of low-density lipoprotein particle clearance,GO:0019433~triglyceride catabolic process,GO:0032489~regulation of Cdc42 protein signal transduction,GO:0033344~cholesterol efflux,GO:0033700~phospholipid efflux,GO:0034375~high-density lipoprotein particle remodeling,GO:0034379~very-low-density lipoprotein particle assembly,GO:0034382~chylomicron remnant clearance,GO:0042157~lipoprotein metabolic process,GO:0042632~cholesterol homeostasis,GO:0043691~reverse cholesterol transport,GO:0045717~negative regulation of fatty acid biosynthetic process,GO:0045833~negative regulation of lipid metabolic process,GO:0048261~negative regulation of receptor-mediated endocytosis,GO:0050995~negative regulation of lipid catabolic process,GO:0051005~negative regulation of lipoprotein lipase activity,GO:0060621~negative regulation of cholesterol import,GO:0070328~triglyceride homeostasis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005769~early endosome,GO:0034361~very-low-density lipoprotein particle,GO:0034363~intermediate-density lipoprotein particle,GO:0034366~spherical high-density lipoprotein particle,GO:0042627~chylomicron,GO:0070062~extracellular exosome,"	"GO:0005543~phospholipid binding,GO:0008289~lipid binding,GO:0015485~cholesterol binding,GO:0030234~enzyme regulator activity,GO:0055102~lipase inhibitor activity,GO:0070653~high-density lipoprotein particle receptor binding,"	"hsa03320:PPAR signaling pathway,"	"614028~Apolipoprotein C-III deficiency,"	"R-HSA-174800:R-HSA-174800,R-HSA-194223:R-HSA-194223,R-HSA-975634:R-HSA-975634,"
APOD	apolipoprotein D(APOD)	Homo sapiens	"GO:0000302~response to reactive oxygen species,GO:0001525~angiogenesis,GO:0006006~glucose metabolic process,GO:0006629~lipid metabolic process,GO:0006869~lipid transport,GO:0007420~brain development,GO:0007568~aging,GO:0010642~negative regulation of platelet-derived growth factor receptor signaling pathway,GO:0014012~peripheral nervous system axon regeneration,GO:0042246~tissue regeneration,GO:0042308~negative regulation of protein import into nucleus,GO:0042493~response to drug,GO:0048662~negative regulation of smooth muscle cell proliferation,GO:0048678~response to axon injury,GO:0051895~negative regulation of focal adhesion assembly,GO:0060588~negative regulation of lipoprotein lipid oxidation,GO:0071638~negative regulation of monocyte chemotactic protein-1 production,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:2000098~negative regulation of smooth muscle cell-matrix adhesion,GO:2000405~negative regulation of T cell migration,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005783~endoplasmic reticulum,GO:0022626~cytosolic ribosome,GO:0030425~dendrite,GO:0043025~neuronal cell body,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,"	"GO:0005215~transporter activity,GO:0005319~lipid transporter activity,GO:0005515~protein binding,GO:0008289~lipid binding,GO:0015485~cholesterol binding,GO:0036094~small molecule binding,"			"R-HSA-804914:R-HSA-804914,"
APOL1	apolipoprotein L1(APOL1)	Homo sapiens	"GO:0006869~lipid transport,GO:0006898~receptor-mediated endocytosis,GO:0008203~cholesterol metabolic process,GO:0019835~cytolysis,GO:0031640~killing of cells of other organism,GO:0042157~lipoprotein metabolic process,GO:0045087~innate immune response,GO:1902476~chloride transmembrane transport,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016021~integral component of membrane,GO:0031224~intrinsic component of membrane,GO:0034361~very-low-density lipoprotein particle,GO:0034364~high-density lipoprotein particle,GO:0072562~blood microparticle,"	"GO:0005254~chloride channel activity,GO:0005515~protein binding,GO:0008289~lipid binding,"		"612551~End-stage renal disease, nondiabetic, susceptibility to,612551~Glomerulosclerosis, focal segmental, 4, susceptibility to,"	"R-HSA-2168880:R-HSA-2168880,"
CTSD	cathepsin D(CTSD)	Homo sapiens	"GO:0006508~proteolysis,GO:0006914~autophagy,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0030163~protein catabolic process,GO:0030574~collagen catabolic process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005764~lysosome,GO:0031012~extracellular matrix,GO:0042470~melanosome,GO:0043202~lysosomal lumen,GO:0045121~membrane raft,GO:0070062~extracellular exosome,"	"GO:0004190~aspartic-type endopeptidase activity,GO:0004197~cysteine-type endopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,"	"hsa04071:Sphingolipid signaling pathway,hsa04142:Lysosome,hsa05152:Tuberculosis,"	"610127~Ceroid lipofuscinosis, neuronal, 10,"	"R-HSA-1442490:R-HSA-1442490,R-HSA-2022377:R-HSA-2022377,R-HSA-2132295:R-HSA-2132295,"
CP	ceruloplasmin(CP)	Homo sapiens	"GO:0006825~copper ion transport,GO:0006879~cellular iron ion homeostasis,GO:0055114~oxidation-reduction process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,GO:0005765~lysosomal membrane,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0004322~ferroxidase activity,GO:0005507~copper ion binding,GO:0051087~chaperone binding,"	"hsa00860:Porphyrin and chlorophyll metabolism,"	"604290~Cerebellar ataxia,604290~Hemosiderosis, systemic, due to aceruloplasminemia,604290~Hypoceruloplasminemia, hereditary,"	"R-HSA-425410:R-HSA-425410,R-HSA-5619060:R-HSA-5619060,R-HSA-917937:R-HSA-917937,"
CHI3L1	chitinase 3 like 1(CHI3L1)	Homo sapiens	"GO:0005975~carbohydrate metabolic process,GO:0006032~chitin catabolic process,GO:0006915~apoptotic process,GO:0006954~inflammatory response,GO:0007250~activation of NF-kappaB-inducing kinase activity,GO:0009612~response to mechanical stimulus,GO:0010800~positive regulation of peptidyl-threonine phosphorylation,GO:0030324~lung development,GO:0034612~response to tumor necrosis factor,GO:0045766~positive regulation of angiogenesis,GO:0051216~cartilage development,GO:0051897~positive regulation of protein kinase B signaling,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070555~response to interleukin-1,GO:0070741~response to interleukin-6,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0072606~interleukin-8 secretion,"	"GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,"	"GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0004568~chitinase activity,GO:0005201~extracellular matrix structural constituent,GO:0008061~chitin binding,GO:0030246~carbohydrate binding,"		"181500~Schizophrenia, susceptibility to,611960~Asthma-related traits, susceptibility to, 7,"	
C1QB	complement C1q B chain(C1QB)	Homo sapiens	"GO:0006508~proteolysis,GO:0006956~complement activation,GO:0006958~complement activation, classical pathway,GO:0045087~innate immune response,GO:0048839~inner ear development,"	"GO:0005576~extracellular region,GO:0005581~collagen trimer,GO:0005602~complement component C1 complex,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,"	"hsa04610:Complement and coagulation cascades,hsa05020:Prion diseases,hsa05133:Pertussis,hsa05142:Chagas disease (American trypanosomiasis),hsa05150:Staphylococcus aureus infection,hsa05322:Systemic lupus erythematosus,"	"613652~C1q deficiency,"	"R-HSA-166663:R-HSA-166663,R-HSA-173623:R-HSA-173623,"
CFB	complement factor B(CFB)	Homo sapiens	"GO:0006508~proteolysis,GO:0006956~complement activation,GO:0006957~complement activation, alternative pathway,GO:0030449~regulation of complement activation,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0001848~complement binding,GO:0004252~serine-type endopeptidase activity,"	"hsa04610:Complement and coagulation cascades,hsa05150:Staphylococcus aureus infection,"	"612924~Hemolytic uremic syndrome, atypical, susceptibility to, 4,615489~Macular degeneration, age-related, 14, reduced risk of,615561~Complement factor B deficiency,"	"R-HSA-173736:R-HSA-173736,R-HSA-174577:R-HSA-174577,R-HSA-977606:R-HSA-977606,"
CFI	complement factor I(CFI)	Homo sapiens	"GO:0006508~proteolysis,GO:0006898~receptor-mediated endocytosis,GO:0006958~complement activation, classical pathway,GO:0030449~regulation of complement activation,GO:0045087~innate immune response,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016020~membrane,GO:0070062~extracellular exosome,"	"GO:0004252~serine-type endopeptidase activity,GO:0005044~scavenger receptor activity,GO:0005515~protein binding,GO:0046872~metal ion binding,"	"hsa04610:Complement and coagulation cascades,hsa05150:Staphylococcus aureus infection,"	"610984~Complement factor I deficiency,612923~Hemolytic uremic syndrome, atypical, susceptibility to, 3,615439~Macular degeneration, age-related, 13, susceptibility to,"	"R-HSA-977606:R-HSA-977606,"
CSTB	cystatin B(CSTB)	Homo sapiens	"GO:0008344~adult locomotory behavior,GO:0010466~negative regulation of peptidase activity,GO:0010951~negative regulation of endopeptidase activity,GO:0045861~negative regulation of proteolysis,"	"GO:0005615~extracellular space,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0070062~extracellular exosome,"	"GO:0002020~protease binding,GO:0004866~endopeptidase inhibitor activity,GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0044822~poly(A) RNA binding,"		"254800~Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg),"	
CST5	cystatin D(CST5)	Homo sapiens	"GO:2000117~negative regulation of cysteine-type endopeptidase activity,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0070062~extracellular exosome,"	"GO:0002020~protease binding,GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0005515~protein binding,"	"hsa04970:Salivary secretion,"		
ESM1	endothelial cell specific molecule 1(ESM1)	Homo sapiens	"GO:0001525~angiogenesis,GO:0001558~regulation of cell growth,GO:0002040~sprouting angiogenesis,GO:0008284~positive regulation of cell proliferation,GO:1902204~positive regulation of hepatocyte growth factor receptor signaling pathway,"	"GO:0005576~extracellular region,"	"GO:0005171~hepatocyte growth factor receptor binding,GO:0005178~integrin binding,GO:0005520~insulin-like growth factor binding,"			
FGA	fibrinogen alpha chain(FGA)	Homo sapiens	"GO:0002250~adaptive immune response,GO:0002576~platelet degranulation,GO:0006461~protein complex assembly,GO:0007160~cell-matrix adhesion,GO:0007165~signal transduction,GO:0007596~blood coagulation,GO:0030168~platelet activation,GO:0030198~extracellular matrix organization,GO:0031639~plasminogen activation,GO:0034116~positive regulation of heterotypic cell-cell adhesion,GO:0042730~fibrinolysis,GO:0043152~induction of bacterial agglutination,GO:0043623~cellular protein complex assembly,GO:0044267~cellular protein metabolic process,GO:0045087~innate immune response,GO:0045907~positive regulation of vasoconstriction,GO:0045921~positive regulation of exocytosis,GO:0050714~positive regulation of protein secretion,GO:0051258~protein polymerization,GO:0051592~response to calcium ion,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070527~platelet aggregation,GO:0072377~blood coagulation, common pathway,GO:0072378~blood coagulation, fibrin clot formation,GO:0090277~positive regulation of peptide hormone secretion,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:2000261~negative regulation of blood coagulation, common pathway,GO:2000352~negative regulation of endothelial cell apoptotic process,"	"GO:0005576~extracellular region,GO:0005577~fibrinogen complex,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005938~cell cortex,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0031091~platelet alpha granule,GO:0031093~platelet alpha granule lumen,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,GO:1903561~extracellular vesicle,"	"GO:0005102~receptor binding,GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0030674~protein binding, bridging,GO:0046872~metal ion binding,GO:0050839~cell adhesion molecule binding,"	"hsa04610:Complement and coagulation cascades,hsa04611:Platelet activation,"	"105200~Amyloidosis, familial visceral,202400~Afibrinogenemia, congenital,616004~Dysfibrinogenemia, congenital,616004~Hypodysfibrinogenemia, congenital,"	"R-HSA-114608:R-HSA-114608,R-HSA-140875:R-HSA-140875,R-HSA-216083:R-HSA-216083,R-HSA-354192:R-HSA-354192,R-HSA-354194:R-HSA-354194,R-HSA-372708:R-HSA-372708,R-HSA-5674135:R-HSA-5674135,R-HSA-977225:R-HSA-977225,"
FGG	fibrinogen gamma chain(FGG)	Homo sapiens	"GO:0002576~platelet degranulation,GO:0007160~cell-matrix adhesion,GO:0007165~signal transduction,GO:0007596~blood coagulation,GO:0009306~protein secretion,GO:0030168~platelet activation,GO:0030198~extracellular matrix organization,GO:0031639~plasminogen activation,GO:0034116~positive regulation of heterotypic cell-cell adhesion,GO:0042730~fibrinolysis,GO:0043623~cellular protein complex assembly,GO:0045907~positive regulation of vasoconstriction,GO:0045921~positive regulation of exocytosis,GO:0050714~positive regulation of protein secretion,GO:0051258~protein polymerization,GO:0051592~response to calcium ion,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070527~platelet aggregation,GO:0072378~blood coagulation, fibrin clot formation,GO:0090277~positive regulation of peptide hormone secretion,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:2000352~negative regulation of endothelial cell apoptotic process,"	"GO:0005576~extracellular region,GO:0005577~fibrinogen complex,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005938~cell cortex,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0031091~platelet alpha granule,GO:0031093~platelet alpha granule lumen,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0005102~receptor binding,GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0030674~protein binding, bridging,GO:0046872~metal ion binding,GO:0050839~cell adhesion molecule binding,"	"hsa04610:Complement and coagulation cascades,hsa04611:Platelet activation,hsa05150:Staphylococcus aureus infection,"	"202400~Afibrinogenemia, congenital,202400~Hypofibrinogenemia, congenital,616004~Dysfibrinogenemia, congenital,616004~Hypodysfibrinogenemia,"	"R-HSA-114608:R-HSA-114608,R-HSA-140875:R-HSA-140875,R-HSA-216083:R-HSA-216083,R-HSA-354192:R-HSA-354192,R-HSA-354194:R-HSA-354194,R-HSA-372708:R-HSA-372708,R-HSA-5674135:R-HSA-5674135,"
FGF21	fibroblast growth factor 21(FGF21)	Homo sapiens	"GO:0007165~signal transduction,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0010898~positive regulation of triglyceride catabolic process,GO:0010988~regulation of low-density lipoprotein particle clearance,GO:0014823~response to activity,GO:0030968~endoplasmic reticulum unfolded protein response,GO:0031667~response to nutrient levels,GO:0035690~cellular response to drug,GO:0045716~positive regulation of low-density lipoprotein particle receptor biosynthetic process,GO:0046326~positive regulation of glucose import,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071333~cellular response to glucose stimulus,GO:0071377~cellular response to glucagon stimulus,GO:0071404~cellular response to low-density lipoprotein particle stimulus,GO:0072577~endothelial cell apoptotic process,GO:0090080~positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway,GO:1901215~negative regulation of neuron death,GO:1904640~response to methionine,GO:2000352~negative regulation of endothelial cell apoptotic process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,"	"GO:0005104~fibroblast growth factor receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,"	"hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05200:Pathways in cancer,hsa05218:Melanoma,"		"R-HSA-174800:R-HSA-174800,R-HSA-428790:R-HSA-428790,R-HSA-70153:R-HSA-70153,"
FGF5	fibroblast growth factor 5(FGF5)	Homo sapiens	"GO:0000165~MAPK cascade,GO:0007267~cell-cell signaling,GO:0007399~nervous system development,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0010001~glial cell differentiation,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0023019~signal transduction involved in regulation of gene expression,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0043547~positive regulation of GTPase activity,GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,GO:0051781~positive regulation of cell division,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0004713~protein tyrosine kinase activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005104~fibroblast growth factor receptor binding,GO:0008083~growth factor activity,GO:0016303~1-phosphatidylinositol-3-kinase activity,GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity,"	"hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05200:Pathways in cancer,hsa05218:Melanoma,"	"190330~Trichomegaly,"	"R-HSA-109704:R-HSA-109704,R-HSA-1257604:R-HSA-1257604,R-HSA-1839122:R-HSA-1839122,R-HSA-1839130:R-HSA-1839130,R-HSA-190372:R-HSA-190372,R-HSA-190373:R-HSA-190373,R-HSA-190375:R-HSA-190375,R-HSA-2033514:R-HSA-2033514,R-HSA-2033519:R-HSA-2033519,R-HSA-2219530:R-HSA-2219530,R-HSA-5654219:R-HSA-5654219,R-HSA-5654221:R-HSA-5654221,R-HSA-5654227:R-HSA-5654227,R-HSA-5654687:R-HSA-5654687,R-HSA-5654688:R-HSA-5654688,R-HSA-5654689:R-HSA-5654689,R-HSA-5654693:R-HSA-5654693,R-HSA-5654695:R-HSA-5654695,R-HSA-5654699:R-HSA-5654699,R-HSA-5654700:R-HSA-5654700,R-HSA-5654704:R-HSA-5654704,R-HSA-5654706:R-HSA-5654706,R-HSA-5654710:R-HSA-5654710,R-HSA-5654726:R-HSA-5654726,R-HSA-5654727:R-HSA-5654727,R-HSA-5654732:R-HSA-5654732,R-HSA-5655253:R-HSA-5655253,R-HSA-5655302:R-HSA-5655302,R-HSA-5673001:R-HSA-5673001,"
FBLN1	fibulin 1(FBLN1)	Homo sapiens	"GO:0001933~negative regulation of protein phosphorylation,GO:0007162~negative regulation of cell adhesion,GO:0007229~integrin-mediated signaling pathway,GO:0007566~embryo implantation,GO:0010628~positive regulation of gene expression,GO:0010952~positive regulation of peptidase activity,GO:0016032~viral process,GO:0030198~extracellular matrix organization,GO:0048146~positive regulation of fibroblast proliferation,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0072378~blood coagulation, fibrin clot formation,GO:1900025~negative regulation of substrate adhesion-dependent cell spreading,GO:1904188~negative regulation of transformation of host cell by virus,GO:1904237~positive regulation of substrate-dependent cell migration, cell attachment to substrate,GO:2000146~negative regulation of cell motility,GO:2000647~negative regulation of stem cell proliferation,GO:2001202~negative regulation of transforming growth factor-beta secretion,"	"GO:0005576~extracellular region,GO:0005577~fibrinogen complex,GO:0005578~proteinaceous extracellular matrix,GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0005622~intracellular,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,GO:0071953~elastic fiber,"	"GO:0001968~fibronectin binding,GO:0005178~integrin binding,GO:0005201~extracellular matrix structural constituent,GO:0005509~calcium ion binding,GO:0008022~protein C-terminus binding,GO:0016504~peptidase activator activity,GO:0032403~protein complex binding,GO:0042802~identical protein binding,GO:0070051~fibrinogen binding,"		"608180~Synpolydactyly, 3/3'4, associated with metacarpal and metatarsal synostoses,"	"R-HSA-2129379:R-HSA-2129379,"
