Representative miRNA,Target gene,Representative transcript,Gene name,3P-seq tags + 5,Total sites,8mer sites,7mer-m8 sites,7mer-A1 sites,6mer sites,Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
hsa-miR-126-5p,PAK1IP1,ENST00000379568.3,PAK1 interacting protein 1,135,2,0,0,2,1,-0.09,-0.17,0,0
hsa-miR-126-5p,PAX4,ENST00000338516.3,paired box 4,5,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,VSTM2B,ENST00000335523.7,V-set and transmembrane domain containing 2B,17,1,0,0,1,2,-0.09,-0.11,0,0
hsa-miR-126-5p,KCTD16,ENST00000507359.3,potassium channel tetramerization domain containing 16,36,8,1,4,3,7,-0.09,-0.29,0,0
hsa-miR-126-5p,GNG2,ENST00000556752.1,"guanine nucleotide binding protein (G protein), gamma 2",199,1,1,0,0,1,-0.09,-0.14,0,0
hsa-miR-126-5p,NHLRC2,ENST00000369301.3,NHL repeat containing 2,368,5,3,0,2,4,-0.09,-0.11,0,0
hsa-miR-126-5p,C21orf91,ENST00000400558.3,chromosome 21 open reading frame 91,998,2,1,1,0,1,-0.09,-0.11,0,0
hsa-miR-126-5p,SCN7A,ENST00000409855.1,"sodium channel, voltage-gated, type VII, alpha subunit",5,2,0,1,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,FAM198B,ENST00000585682.1,"family with sequence similarity 198, member B",25,3,2,1,0,3,-0.09,-0.09,0,0
hsa-miR-126-5p,FAM200B,ENST00000422728.2,"family with sequence similarity 200, member B",213,2,0,1,1,0,-0.09,-0.14,0,0
hsa-miR-126-5p,CCDC13,ENST00000310232.6,coiled-coil domain containing 13,5,1,1,0,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,GBP7,ENST00000294671.2,guanylate binding protein 7,5,1,0,1,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,USP51,ENST00000500968.3,ubiquitin specific peptidase 51,26,2,0,0,2,2,-0.09,-0.09,0,0
hsa-miR-126-5p,GSTCD,ENST00000515279.1,"glutathione S-transferase, C-terminal domain containing",411,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,AL353791.1,ENST00000426179.1,0,5,2,0,2,0,1,-0.09,-0.09,0,0
hsa-miR-126-5p,PPP1R2,ENST00000328432.3,"protein phosphatase 1, regulatory (inhibitor) subunit 2",8,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,SASS6,ENST00000287482.5,spindle assembly 6 homolog (C. elegans),796,2,0,1,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,UGCG,ENST00000374279.3,UDP-glucose ceramide glucosyltransferase,1200,1,0,0,1,0,-0.09,-0.1,0,0
hsa-miR-126-5p,WBP5,ENST00000372661.3,WW domain binding protein 5,32,1,0,0,1,0,-0.09,-0.15,0,0
hsa-miR-126-5p,MREG,ENST00000263268.6,melanoregulin,95,1,0,0,1,1,-0.09,-0.14,0,0
hsa-miR-126-5p,INPP4A,ENST00000409016.4,"inositol polyphosphate-4-phosphatase, type I, 107kDa",387,1,0,0,1,2,-0.09,-0.09,0,0
hsa-miR-126-5p,L3HYPDH,ENST00000247194.4,L-3-hydroxyproline dehydratase (trans-),236,1,0,0,1,1,-0.09,-0.1,0,0
hsa-miR-126-5p,NIP7,ENST00000254940.5,"NIP7, nucleolar pre-rRNA processing protein",659,1,0,0,1,0,-0.09,-0.11,0,0
hsa-miR-126-5p,TGFBR1,ENST00000374994.4,"transforming growth factor, beta receptor 1",249,5,1,3,1,1,-0.09,-0.1,0,0
hsa-miR-126-5p,NFS1,ENST00000374092.4,NFS1 cysteine desulfurase,629,1,0,1,0,2,-0.09,-0.1,0,0
hsa-miR-126-5p,ZSCAN31,ENST00000439158.1,zinc finger and SCAN domain containing 31,43,2,0,0,2,0,-0.09,-0.1,0,0
hsa-miR-126-5p,GOLGA8K,ENST00000512626.2,"golgin A8 family, member K",0,3,0,1,2,3,-0.09,-0.09,0,0
hsa-miR-126-5p,SUCLG2,ENST00000307227.5,"succinate-CoA ligase, GDP-forming, beta subunit",88,2,0,1,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,TLR3,ENST00000296795.3,toll-like receptor 3,5,1,0,1,0,2,-0.09,-0.09,0,0
hsa-miR-126-5p,SKIDA1,ENST00000449193.2,SKI/DACH domain containing 1,18,2,0,1,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,BRD8,ENST00000254900.5,bromodomain containing 8,5,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,ALPPL2,ENST00000295453.3,"alkaline phosphatase, placental-like 2",5,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,SESN1,ENST00000436639.2,sestrin 1,96,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,ZNF865,ENST00000568956.1,zinc finger protein 865,75,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,MID1IP1,ENST00000336949.6,MID1 interacting protein 1,356,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,LPPR1,ENST00000374874.3,Lipid phosphate phosphatase-related protein type 1,19,1,1,0,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,HINT1,ENST00000304043.5,histidine triad nucleotide binding protein 1,15834,1,0,1,0,3,-0.09,-0.28,0,0
hsa-miR-126-5p,SLC30A6,ENST00000282587.5,"solute carrier family 30 (zinc transporter), member 6",711,2,0,1,1,2,-0.09,-0.2,0,0
hsa-miR-126-5p,EIF2A,ENST00000460851.1,"eukaryotic translation initiation factor 2A, 65kDa",3166,1,0,1,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,C12orf23,ENST00000548125.1,chromosome 12 open reading frame 23,602,3,1,2,0,3,-0.09,-0.33,0,0
hsa-miR-126-5p,HGF,ENST00000222390.5,hepatocyte growth factor (hepapoietin A; scatter factor),18,1,0,1,0,3,-0.09,-0.09,0,0
hsa-miR-126-5p,ANKRD34B,ENST00000338682.3,ankyrin repeat domain 34B,5,2,0,1,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,SLC17A9,ENST00000370351.4,"solute carrier family 17 (vesicular nucleotide transporter), member 9",504,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,ZNF544,ENST00000599227.1,zinc finger protein 544,173,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,RDH11,ENST00000381346.4,retinol dehydrogenase 11 (all-trans/9-cis/11-cis),1177,1,1,0,0,1,-0.09,-0.09,0,0
hsa-miR-126-5p,TEP1,ENST00000262715.5,telomerase-associated protein 1,39,3,1,2,0,1,-0.09,-0.11,0,0
hsa-miR-126-5p,MIPOL1,ENST00000327441.7,mirror-image polydactyly 1,45,7,5,1,1,5,-0.09,-0.87,0,0
hsa-miR-126-5p,FAR2,ENST00000536681.3,fatty acyl CoA reductase 2,193,4,2,2,0,2,-0.09,-0.15,0,0
hsa-miR-126-5p,PPP1R1C,ENST00000409137.3,"protein phosphatase 1, regulatory (inhibitor) subunit 1C",5,3,0,3,0,2,-0.09,-0.09,0,0
hsa-miR-126-5p,TNFSF15,ENST00000374045.4,"tumor necrosis factor (ligand) superfamily, member 15",29,2,0,0,2,0,-0.09,-0.09,0,0
hsa-miR-126-5p,ASB5,ENST00000296525.3,ankyrin repeat and SOCS box containing 5,5,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,CPED1,ENST00000310396.5,cadherin-like and PC-esterase domain containing 1,77,5,2,1,2,1,-0.09,-0.27,0,0
hsa-miR-126-5p,PLIN5,ENST00000381848.3,perilipin 5,125,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,ST8SIA3,ENST00000324000.3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3",5,4,2,1,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,NSUN7,ENST00000316607.5,"NOP2/Sun domain family, member 7",9,1,0,1,0,1,-0.09,-0.09,0,0
hsa-miR-126-5p,LRRC55,ENST00000497933.1,leucine rich repeat containing 55,5,1,1,0,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,SNX22,ENST00000325881.4,sorting nexin 22,5,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,NFIA,ENST00000403491.3,nuclear factor I/A,5,3,3,0,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,MEMO1,ENST00000295065.5,mediator of cell motility 1,89,2,0,1,1,4,-0.09,-0.27,0,0
hsa-miR-126-5p,NDUFB5,ENST00000493866.1,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa",5395,2,0,1,1,1,-0.09,-0.26,0,0
hsa-miR-126-5p,STON2,ENST00000267540.2,stonin 2,40,2,2,0,0,4,-0.09,-0.11,0,0
hsa-miR-126-5p,KLF9,ENST00000377126.2,Kruppel-like factor 9,20,1,0,0,1,0,-0.09,-0.16,0,0
hsa-miR-126-5p,RALGPS2,ENST00000367635.3,Ral GEF with PH domain and SH3 binding motif 2,201,4,0,2,2,6,-0.09,-0.1,0,0
hsa-miR-126-5p,CEP120,ENST00000306467.5,centrosomal protein 120kDa,261,3,0,0,3,3,-0.09,-0.22,0,0
hsa-miR-126-5p,MSH2,ENST00000233146.2,mutS homolog 2,1468,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,SYNPO2,ENST00000429713.2,synaptopodin 2,105,4,2,2,0,4,-0.09,-0.1,0,0
hsa-miR-126-5p,LAYN,ENST00000525126.1,layilin,175,3,0,2,1,0,-0.09,-0.15,0,0
hsa-miR-126-5p,AL645728.1,ENST00000366221.2,Uncharacterized protein,8,1,1,0,0,1,-0.09,-0.22,0,0
hsa-miR-126-5p,VGLL3,ENST00000398399.2,vestigial like 3 (Drosophila),187,4,1,1,2,6,-0.09,-0.11,0,0
hsa-miR-126-5p,RIMS1,ENST00000348717.5,regulating synaptic membrane exocytosis 1,45,4,0,2,2,1,-0.09,-0.15,0,0
hsa-miR-126-5p,CR1,ENST00000367052.1,complement component (3b/4b) receptor 1 (Knops blood group),5,2,1,0,1,1,-0.09,-0.12,0,0
hsa-miR-126-5p,HMGCLL1,ENST00000274901.4,3-hydroxymethyl-3-methylglutaryl-CoA lyase-like 1,11,2,1,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,SLC6A2,ENST00000219833.8,"solute carrier family 6 (neurotransmitter transporter), member 2",5,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,THNSL1,ENST00000524413.1,threonine synthase-like 1 (S. cerevisiae),140,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,RXFP1,ENST00000307765.5,relaxin/insulin-like family peptide receptor 1,5,2,1,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,HBP1,ENST00000222574.4,HMG-box transcription factor 1,167,2,2,0,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,XXbac-BPG32J3.20,ENST00000461287.1,0,1251,1,0,1,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,PKIB,ENST00000258014.3,"protein kinase (cAMP-dependent, catalytic) inhibitor beta",545,2,0,0,2,0,-0.09,-0.17,0,0
hsa-miR-126-5p,QRSL1,ENST00000369046.4,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1,53,4,1,1,2,1,-0.09,-0.15,0,0
hsa-miR-126-5p,FAM83B,ENST00000306858.7,"family with sequence similarity 83, member B",140,2,0,0,2,5,-0.09,-0.09,0,0
hsa-miR-126-5p,FOXA1,ENST00000250448.2,forkhead box A1,249,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,REEP3,ENST00000373758.4,receptor accessory protein 3,1095,2,1,1,0,1,-0.09,-0.11,0,0
hsa-miR-126-5p,MKI67IP,ENST00000285814.4,MKI67 (FHA domain) interacting nucleolar phosphoprotein,215,1,0,0,1,2,-0.09,-0.15,0,0
hsa-miR-126-5p,POLR2D,ENST00000272645.4,polymerase (RNA) II (DNA directed) polypeptide D,530,2,0,0,2,0,-0.09,-0.09,0,0
hsa-miR-126-5p,TMPRSS11E,ENST00000305363.4,"transmembrane protease, serine 11E",5,1,0,1,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,LTA,ENST00000454783.1,lymphotoxin alpha,5,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,HRH1,ENST00000397056.1,histamine receptor H1,130,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,C11orf63,ENST00000531316.1,chromosome 11 open reading frame 63,38,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,XK,ENST00000378616.3,X-linked Kx blood group (McLeod syndrome),39,2,0,0,2,1,-0.09,-0.09,0,0
hsa-miR-126-5p,CCDC81,ENST00000528728.1,coiled-coil domain containing 81,107,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,ADK,ENST00000372734.3,adenosine kinase,1098,1,0,1,0,2,-0.09,-0.12,0,0
hsa-miR-126-5p,TES,ENST00000358204.4,testis derived transcript (3 LIM domains),34,1,0,1,0,1,-0.09,-0.12,0,0
hsa-miR-126-5p,ZC3H8,ENST00000409573.2,zinc finger CCCH-type containing 8,216,2,0,0,2,2,-0.09,-0.24,0,0
hsa-miR-126-5p,GOLGB1,ENST00000340645.5,golgin B1,162,2,0,1,1,0,-0.09,-0.16,0,0
hsa-miR-126-5p,SCD,ENST00000370355.2,stearoyl-CoA desaturase (delta-9-desaturase),9726,1,1,0,0,4,-0.09,-0.09,0,0
hsa-miR-126-5p,DIRC2,ENST00000261038.5,disrupted in renal carcinoma 2,1041,2,1,0,1,1,-0.09,-0.15,0,0
hsa-miR-126-5p,GPR82,ENST00000302548.4,G protein-coupled receptor 82,5,2,0,0,2,2,-0.09,-0.09,0,0
hsa-miR-126-5p,AC023632.1,ENST00000391679.1,HCG2009141; PRO2397; Uncharacterized protein,5,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,CEPT1,ENST00000545121.1,choline/ethanolamine phosphotransferase 1,148,2,0,1,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,ZNF536,ENST00000355537.3,zinc finger protein 536,5,2,0,1,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,CTD-2162K18.4,ENST00000590750.1,Uncharacterized protein,51,2,2,0,0,1,-0.09,-0.41,0,0
hsa-miR-126-5p,PIK3C2G,ENST00000433979.1,"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 gamma",5,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,SGPP1,ENST00000247225.6,sphingosine-1-phosphate phosphatase 1,1340,3,1,1,1,2,-0.09,-0.09,0,0
hsa-miR-126-5p,PA2G4,ENST00000303305.6,"proliferation-associated 2G4, 38kDa",64,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,LDB1,ENST00000361198.5,LIM domain binding 1,61,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,BCL2L2,ENST00000250405.5,BCL2-like 2,1380,2,0,2,0,0,-0.09,-0.11,0,0
hsa-miR-126-5p,C18orf25,ENST00000282059.6,chromosome 18 open reading frame 25,688,2,0,0,2,3,-0.09,-0.11,0,0
hsa-miR-126-5p,PPM1B,ENST00000409432.3,"protein phosphatase, Mg2+/Mn2+ dependent, 1B",321,1,0,1,0,1,-0.09,-0.1,0,0
hsa-miR-126-5p,GATA2,ENST00000341105.2,GATA binding protein 2,231,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,SLC39A8,ENST00000394833.2,"solute carrier family 39 (zinc transporter), member 8",228,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,FMN2,ENST00000319653.9,formin 2,22,2,0,0,2,0,-0.09,-0.13,0,0
hsa-miR-126-5p,ZBTB38,ENST00000514251.1,zinc finger and BTB domain containing 38,1270,2,1,1,0,3,-0.09,-0.09,0,0
hsa-miR-126-5p,E2F6,ENST00000362009.4,E2F transcription factor 6,70,1,1,0,0,3,-0.09,-0.09,0,0
hsa-miR-126-5p,GABRG1,ENST00000295452.4,"gamma-aminobutyric acid (GABA) A receptor, gamma 1",5,1,0,1,0,3,-0.09,-0.09,0,0
hsa-miR-126-5p,ST8SIA1,ENST00000396037.4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",5,4,1,2,1,2,-0.09,-0.09,0,0
hsa-miR-126-5p,RP11-57H12.6,ENST00000604534.1,TMEM56-RWDD3 protein,49,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,FAM111A,ENST00000528737.1,"family with sequence similarity 111, member A",5,2,1,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,FAM184B,ENST00000265018.3,"family with sequence similarity 184, member B",22,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,SCRG1,ENST00000296506.3,stimulator of chondrogenesis 1,5,1,0,0,1,1,-0.09,-0.09,0,0
hsa-miR-126-5p,NFAT5,ENST00000354436.2,"nuclear factor of activated T-cells 5, tonicity-responsive",128,7,1,2,4,4,-0.09,-0.18,0,0
hsa-miR-126-5p,KIF7,ENST00000394412.3,kinesin family member 7,13,1,0,0,1,0,-0.09,-0.1,0,0
hsa-miR-126-5p,CHAC2,ENST00000295304.4,"ChaC, cation transport regulator homolog 2 (E. coli)",126,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,ZNF610,ENST00000601151.1,zinc finger protein 610,13,1,0,0,1,1,-0.09,-0.11,0,0
hsa-miR-126-5p,TASP1,ENST00000337743.4,"taspase, threonine aspartase, 1",58,1,0,0,1,0,-0.09,-0.17,0,0
hsa-miR-126-5p,PKIA,ENST00000396418.2,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha",542,7,0,3,4,4,-0.09,-0.5,0,0
hsa-miR-126-5p,BTN3A2,ENST00000396948.1,"butyrophilin, subfamily 3, member A2",5,3,0,2,1,0,-0.09,-0.12,0,0
hsa-miR-126-5p,DENND1B,ENST00000235453.4,DENN/MADD domain containing 1B,6,1,0,1,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,ARX,ENST00000379044.4,aristaless related homeobox,5,1,0,0,1,0,-0.09,-0.09,0,0
hsa-miR-126-5p,ANKRD45,ENST00000333279.2,ankyrin repeat domain 45,10,2,0,1,1,1,-0.09,-0.15,0,0
hsa-miR-126-5p,CCDC36,ENST00000438782.1,coiled-coil domain containing 36,5,1,1,0,0,0,-0.09,-0.09,0,0
hsa-miR-126-5p,TMEM200C,ENST00000581347.2,transmembrane protein 200C,54,13,5,6,2,7,-0.08,-0.46,0,0
hsa-miR-126-5p,TOB2,ENST00000327492.3,"transducer of ERBB2, 2",71,1,0,0,1,1,-0.08,-0.11,0,0
hsa-miR-126-5p,PNPLA8,ENST00000426128.2,patatin-like phospholipase domain containing 8,60,3,0,1,2,2,-0.08,-0.27,0,0
hsa-miR-126-5p,CKS1B,ENST00000308987.5,CDC28 protein kinase regulatory subunit 1B,186,2,0,0,2,0,-0.08,-0.1,0,0
hsa-miR-126-5p,FAM185A,ENST00000409231.3,"family with sequence similarity 185, member A",67,1,0,0,1,0,-0.08,-0.09,0,0
hsa-miR-126-5p,FAM175B,ENST00000298492.5,"family with sequence similarity 175, member B",525,1,1,0,0,3,-0.08,-0.09,0,0
hsa-miR-126-5p,NMNAT3,ENST00000511444.1,nicotinamide nucleotide adenylyltransferase 3,12,1,0,0,1,1,-0.08,-0.16,0,0
hsa-miR-126-5p,C11orf54,ENST00000528288.1,chromosome 11 open reading frame 54,47,2,0,0,2,3,-0.08,-0.16,0,0
hsa-miR-126-5p,IL18R1,ENST00000409599.1,interleukin 18 receptor 1,40,2,0,1,1,2,-0.08,-0.08,0,0
hsa-miR-126-5p,BMP6,ENST00000283147.6,bone morphogenetic protein 6,1070,2,0,1,1,1,-0.08,-0.08,0,0
hsa-miR-126-5p,CTAGE4,ENST00000486333.1,"CTAGE family, member 4",5,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,PHF21A,ENST00000257821.4,PHD finger protein 21A,301,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,CDKN2D,ENST00000393599.2,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",186,1,0,1,0,0,-0.08,-0.08,0,0
hsa-miR-126-5p,GOLGA6L9,ENST00000300515.8,golgin A6 family-like 9,5,1,0,0,1,2,-0.08,-0.08,0,0
hsa-miR-126-5p,DYM,ENST00000442713.2,dymeclin,547,1,0,0,1,1,-0.08,-0.08,0,0
hsa-miR-126-5p,MXRA5,ENST00000217939.6,matrix-remodelling associated 5,5,2,0,0,2,1,-0.08,-0.08,0,0
hsa-miR-126-5p,TGDS,ENST00000261296.5,"TDP-glucose 4,6-dehydratase",7,2,0,1,1,1,-0.08,-0.08,0,0
hsa-miR-126-5p,ZFAND5,ENST00000237937.3,"zinc finger, AN1-type domain 5",2522,5,2,1,2,4,-0.08,-0.19,0,0
hsa-miR-126-5p,ZNF333,ENST00000292530.6,zinc finger protein 333,72,2,1,0,1,1,-0.08,-0.11,0,0
hsa-miR-126-5p,LYPLAL1,ENST00000366928.5,lysophospholipase-like 1,28,2,1,0,1,0,-0.08,-0.23,0,0
hsa-miR-126-5p,ZCWPW2,ENST00000383768.2,"zinc finger, CW type with PWWP domain 2",10,1,0,1,0,2,-0.08,-0.14,0,0
hsa-miR-126-5p,TTC33,ENST00000337702.4,tetratricopeptide repeat domain 33,676,5,0,1,4,3,-0.08,-0.36,0,0
hsa-miR-126-5p,LAMP3,ENST00000265598.3,lysosomal-associated membrane protein 3,11,1,0,0,1,2,-0.08,-0.08,0,0
hsa-miR-126-5p,CNTN5,ENST00000524871.1,contactin 5,5,1,0,0,1,3,-0.08,-0.08,0,0
hsa-miR-126-5p,GPR151,ENST00000311104.2,G protein-coupled receptor 151,5,1,0,1,0,3,-0.08,-0.08,0,0
hsa-miR-126-5p,TMEM123,ENST00000361236.3,transmembrane protein 123,2135,2,0,1,1,4,-0.08,-0.08,0,0
hsa-miR-126-5p,ZNF460,ENST00000360338.3,zinc finger protein 460,164,5,2,1,2,4,-0.08,-0.1,0,0
hsa-miR-126-5p,ARHGEF28,ENST00000426542.2,Rho guanine nucleotide exchange factor (GEF) 28,423,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,MSC,ENST00000325509.4,musculin,27,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,INIP,ENST00000374242.4,INTS3 and NABP interacting protein,423,1,0,0,1,1,-0.08,-0.08,0,0
hsa-miR-126-5p,WNT16,ENST00000222462.2,"wingless-type MMTV integration site family, member 16",153,1,0,0,1,1,-0.08,-0.08,0,0
hsa-miR-126-5p,NT5C3A,ENST00000610140.1,"5'-nucleotidase, cytosolic IIIA",165,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,HERC6,ENST00000264346.7,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,18,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,TM9SF2,ENST00000376387.4,transmembrane 9 superfamily member 2,5046,1,0,0,1,3,-0.08,-0.1,0,0
hsa-miR-126-5p,EXOSC9,ENST00000512454.1,exosome component 9,733,1,0,0,1,0,-0.08,-0.17,0,0
hsa-miR-126-5p,FABP5,ENST00000297258.6,fatty acid binding protein 5 (psoriasis-associated),19,1,0,1,0,0,-0.08,-0.11,0,0
hsa-miR-126-5p,FPGT,ENST00000370894.5,fucose-1-phosphate guanylyltransferase,108,4,1,3,0,4,-0.08,-0.21,0,0
hsa-miR-126-5p,TTC26,ENST00000430935.1,tetratricopeptide repeat domain 26,211,1,0,0,1,1,-0.08,-0.12,0,0
hsa-miR-126-5p,OSGIN2,ENST00000451899.2,oxidative stress induced growth inhibitor family member 2,662,1,0,1,0,3,-0.08,-0.15,0,0
hsa-miR-126-5p,MAP4K5,ENST00000013125.4,mitogen-activated protein kinase kinase kinase kinase 5,634,1,0,0,1,0,-0.08,-0.09,0,0
hsa-miR-126-5p,ELOVL6,ENST00000394607.3,ELOVL fatty acid elongase 6,901,2,0,0,2,2,-0.08,-0.11,0,0
hsa-miR-126-5p,AAK1,ENST00000409085.4,AP2 associated kinase 1,27,5,1,1,3,7,-0.08,-0.21,0,0
hsa-miR-126-5p,PF4V1,ENST00000226524.3,platelet factor 4 variant 1,7,1,1,0,0,1,-0.08,-0.39,0,0
hsa-miR-126-5p,ZWILCH,ENST00000307897.5,zwilch kinetochore protein,43,3,0,1,2,0,-0.08,-0.24,0,0
hsa-miR-126-5p,GAPT,ENST00000396776.2,"GRB2-binding adaptor protein, transmembrane",5,1,0,0,1,2,-0.08,-0.08,0,0
hsa-miR-126-5p,FLT3,ENST00000241453.7,fms-related tyrosine kinase 3,15,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,AHR,ENST00000242057.4,aryl hydrocarbon receptor,25,2,0,0,2,3,-0.08,-0.16,0,0
hsa-miR-126-5p,KCTD4,ENST00000379108.1,potassium channel tetramerization domain containing 4,7,1,0,0,1,0,-0.08,-0.12,0,0
hsa-miR-126-5p,INPP1,ENST00000322522.4,inositol polyphosphate-1-phosphatase,525,1,0,1,0,0,-0.08,-0.08,0,0
hsa-miR-126-5p,IFT88,ENST00000382778.4,intraflagellar transport 88 homolog (Chlamydomonas),48,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,ADAMDEC1,ENST00000256412.4,"ADAM-like, decysin 1",5,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,B2M,ENST00000558401.1,beta-2-microglobulin,56489,1,0,1,0,1,-0.08,-0.08,0,0
hsa-miR-126-5p,ATG4A,ENST00000372232.3,"autophagy related 4A, cysteine peptidase",73,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,MAGEA9,ENST00000298974.5,"melanoma antigen family A, 9",5,1,0,1,0,0,-0.08,-0.08,0,0
hsa-miR-126-5p,RP9,ENST00000297157.3,retinitis pigmentosa 9 (autosomal dominant),426,1,0,0,1,0,-0.08,-0.08,0,0
hsa-miR-126-5p,RIF1,ENST00000243326.5,RAP1 interacting factor homolog (yeast),213,2,0,0,2,4,-0.08,-0.26,0,0
hsa-miR-126-5p,FOXB1,ENST00000396057.4,forkhead box B1,31,1,0,0,1,1,-0.08,-0.1,0,0
hsa-miR-126-5p,SGK3,ENST00000345714.4,"serum/glucocorticoid regulated kinase family, member 3",56,2,1,0,1,0,-0.08,-0.12,0,0
hsa-miR-126-5p,CTAGE8,ENST00000487179.1,"CTAGE family, member 8",5,1,0,0,1,2,-0.08,-0.08,0,0
hsa-miR-126-5p,ZNF34,ENST00000343459.4,zinc finger protein 34,73,1,0,0,1,0,-0.08,-0.14,0,0
hsa-miR-126-5p,CPEB4,ENST00000265085.5,cytoplasmic polyadenylation element binding protein 4,472,5,1,2,2,1,-0.08,-0.14,0,0
hsa-miR-126-5p,ENPP5,ENST00000371383.2,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative),15,7,0,3,4,7,-0.08,-0.73,0,0
hsa-miR-126-5p,SMCHD1,ENST00000320876.6,structural maintenance of chromosomes flexible hinge domain containing 1,270,2,0,0,2,0,-0.08,-0.1,0,0
hsa-miR-126-5p,CEP57L1,ENST00000368968.2,centrosomal protein 57kDa-like 1,90,3,0,1,2,4,-0.08,-0.12,0,0
hsa-miR-126-5p,CACYBP,ENST00000367681.2,calcyclin binding protein,374,1,0,0,1,2,-0.08,-0.13,0,0
hsa-miR-126-5p,ZNF74,ENST00000357502.5,zinc finger protein 74,142,1,1,0,0,2,-0.08,-0.1,0,0
